,Indicator,Value,City
7,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),8.7,Abbotsford
17,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),6.8,Campbell River
27,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),7.6,Chilliwack
37,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),5.6,Kamloops
47,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),4.5,Kelowna
57,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),5.7,Nanaimo
67,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),5.1,Penticton
77,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),5.6,Vancouver
87,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),5.4,Vernon
97,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),4.9,Victoria
