Unnamed: 0,Indicator,Value,City
0,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),16.9,Abbotsford
1,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),6.1,Abbotsford
2,Diabetes age-standardized prevalence rate per 100 population (1+ yrs),10.7,Abbotsford
3,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),2.5,Abbotsford
4,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),27.3,Abbotsford
5,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),8.2,Abbotsford
6,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),7.4,Abbotsford
7,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),8.7,Abbotsford
8,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),4.1,Abbotsford
9,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),28.2,Abbotsford
