Unnamed: 0,Indicator,Value,City
10,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),14.2,Campbell River
11,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),8.2,Campbell River
12,Diabetes age-standardized prevalence rate per 100 population (1+ yrs),8.2,Campbell River
13,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),2.4,Campbell River
14,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),22.6,Campbell River
15,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),8.1,Campbell River
16,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),13.6,Campbell River
17,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),6.8,Campbell River
18,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),4.2,Campbell River
19,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),18.9,Campbell River
