Unnamed: 0,Indicator,Value,City
30,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),14.1,Kamloops
31,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),9.3,Kamloops
32,Diabetes age-standardized prevalence rate per 100 population (1+ yrs),7.6,Kamloops
33,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),2.3,Kamloops
34,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),23.1,Kamloops
35,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),6.7,Kamloops
36,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),11.8,Kamloops
37,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),5.6,Kamloops
38,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),3.4,Kamloops
39,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),20.0,Kamloops
