Unnamed: 0,Indicator,Value,City
40,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),12.4,Kelowna
41,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),7.6,Kelowna
42,Diabetes age-standardized prevalence rate per 100 population (1+ yrs),5.8,Kelowna
43,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),1.8,Kelowna
44,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),21.3,Kelowna
45,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),6.8,Kelowna
46,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),9.7,Kelowna
47,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),4.5,Kelowna
48,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),3.0,Kelowna
49,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),22.3,Kelowna
