Unnamed: 0,Indicator,Value,City
50,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),13.4,Nanaimo
51,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),6.6,Nanaimo
52,Diabetes age-standardized prevalence rate per 100 population (1+ yrs),7.4,Nanaimo
53,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),1.9,Nanaimo
54,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),20.9,Nanaimo
55,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),6.0,Nanaimo
56,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),8.6,Nanaimo
57,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),5.7,Nanaimo
58,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),3.4,Nanaimo
59,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),16.7,Nanaimo
