Unnamed: 0,Indicator,Value,City
60,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),12.8,Penticton
61,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),7.9,Penticton
62,Diabetes age-standardized prevalence rate per 100 population (1+ yrs),6.8,Penticton
63,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),2.0,Penticton
64,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),22.4,Penticton
65,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),5.8,Penticton
66,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),10.7,Penticton
67,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),5.1,Penticton
68,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),3.3,Penticton
69,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),19.1,Penticton
