Unnamed: 0,Indicator,Value,City
70,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),10.9,Vancouver
71,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),5.1,Vancouver
72,Diabetes age-standardized prevalence rate per 100 population (1+ yrs),8.0,Vancouver
73,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),1.8,Vancouver
74,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),21.4,Vancouver
75,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),5.5,Vancouver
76,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),5.6,Vancouver
77,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),5.6,Vancouver
78,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),3.0,Vancouver
79,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),16.5,Vancouver
