Unnamed: 0,Indicator,Value,City
80,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),13.1,Vernon
81,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),9.2,Vernon
82,Diabetes age-standardized prevalence rate per 100 population (1+ yrs),6.8,Vernon
83,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),2.6,Vernon
84,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),22.2,Vernon
85,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),6.9,Vernon
86,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),12.1,Vernon
87,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),5.4,Vernon
88,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),4.3,Vernon
89,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),24.3,Vernon
