Unnamed: 0,Indicator,Value,City
90,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),12.1,Victoria
91,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),5.1,Victoria
92,Diabetes age-standardized prevalence rate per 100 population (1+ yrs),6.8,Victoria
93,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),1.6,Victoria
94,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),20.7,Victoria
95,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),6.1,Victoria
96,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),6.4,Victoria
97,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),4.9,Victoria
98,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),3.0,Victoria
99,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),16.7,Victoria
